Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2017-03-27 15:03:21.180000,513,0,-59,0,-565,0,-627,0,139,0,495,0,-34,0,188,0,821,0,-184,0,336,0,-125,0,700,0,383,0,2,-2,?
2017-03-27 15:03:21.187000,532,6832,-50,0,-550,0,-585,0,151,0,486,0,-32,0,205,0,831,0,-164,0,337,0,-121,0,713,0,388,0,2,-2,?
2017-03-27 15:03:21.196000,544,6832,-62,1184,-549,0,-587,0,136,0,424,0,-37,0,199,0,826,0,-170,0,334,0,-128,0,701,0,385,0,2,-2,?
2017-03-27 15:03:21.204000,528,6832,-65,1184,-567,0,-635,0,109,0,405,0,-46,0,176,0,816,0,-190,0,318,0,-139,0,689,0,373,6408,2,-2,?
2017-03-27 15:03:21.211000,524,6832,-58,1184,-577,296,-639,0,117,0,453,0,-32,0,182,0,821,0,-188,0,315,0,-133,0,700,0,370,6408,2,-2,?
2017-03-27 15:03:21.219000,540,6832,-61,1184,-571,296,-606,976,130,0,462,0,-25,0,193,0,824,0,-179,0,332,0,-124,0,710,0,380,6408,2,-2,?
2017-03-27 15:03:21.227000,546,6832,-56,1184,-568,296,-595,976,125,1080,455,0,-27,0,178,0,824,0,-179,0,336,0,-135,0,710,0,386,6408,2,-2,?
2017-03-27 15:03:21.235000,546,6832,-58,1184,-577,296,-598,976,135,1080,498,944,-8,0,176,0,837,0,-181,0,327,0,-145,0,710,0,376,6408,2,-3,?
2017-03-27 15:03:21.245000,557,6832,-59,1184,-578,296,-593,976,145,1080,503,944,4,6488,208,0,839,0,-175,0,335,0,-131,0,723,0,384,6408,2,-3,?
2017-03-27 15:03:21.251000,559,6832,-55,1184,-561,296,-596,976,135,1080,471,944,-19,6488,217,6680,823,0,-176,0,342,0,-124,0,727,0,400,6408,2,-4,?
2017-03-27 15:03:21.259000,546,6832,-57,1184,-569,296,-622,976,129,1080,485,944,-34,6488,183,6680,815,4776,-188,0,319,0,-134,0,710,0,375,6408,2,-5,?
